渠道,客户名称,订单日期,客户PO,客户产品代码,雀巢产品代码,Plant/区域,产品名称,BU,数量,雀巢 SAP PO,C4开票价,价差,箱价,TPP扣点,实际扣点,客户要求送货日,客户价格,雀巢价格,单价价差,产品行价差,订单总金额价差,起送日,物流模式,问题分类,问题详细描述,备注
01 NKA,家乐福,2021/12/06,1028888792,10581890195,,1097,雀巢蜂蜜脆谷乐150g,,21,1028888792YK,,,,,,2021/12/08,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,10581890192,,1097,雀巢蛋奶星星150g,,23,1028888792YK,,,,,,2021/12/08,13.7570,,,,,,,产品编码有误,客户网站产品编码无法通过信息表mapping出雀巢产品,
01 NKA,家乐福,2021/12/06,1028888792,11503110098,12424790,1097,雀巢蜂蜜脆谷乐营养谷物食品300g,CPW,3,1028888792YK,573.306000,0.000000,235.00,0.0000,0.0000,2021/12/08,26.5550,23.50,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12333409371,12505197,1097,雀巢咖啡绝对深黑拿铁即溶咖啡饮品126g,Coffee,2,1028888792YK,302.510400,0.000000,186.00,0.0000,0.0000,2021/12/08,14.0120,12.40,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12264536057,12481583,1097,雀巢怡运全脂营养奶粉袋装1kg,Dairy,4,1028888792YK,1336.906557,0.005757,411.00,-0.048205,-0.007760,2021/12/08,58.0540,51.375,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,11663158711,12245095,1097,雀巢玉米片150g,CPW,2,1028888792YK,282.155932,-26.860068,190.00,0.0000,0.086921,2021/12/08,10.8910,10.555556,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,12316196118,12498226,1097,雀巢爱思培学生力跃奶粉350g,Dairy,3,1028888792YK,1068.544800,-56.110800,461.00,0.0000,0.049892,2021/12/08,41.2450,38.416667,,,,,,价格差异,不符合价差检查标准,
01 NKA,家乐福,2021/12/06,1028888792,122493491,12492096,1097,雀巢全家营养奶粉枕装300g,Dairy,3,1028888792YK,463.998966,0.474966,190.00,0.0000,-0.001025,2021/12/08,17.9100,15.833333,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,134911988,12278672,1097,雀巢谷物早餐迷你装108g/盒(27gx4g),CPW,19,1028888792YK,2845.408389,0.143569,184.15,0.0000,-0.000050,2021/12/08,10.4050,9.2075,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,104431706,12498467,1097,雀巢咖啡 醇品 速溶咖啡 36g/盒(1.8gx20包),Coffee,1,1028888792YK,458.627528,-0.017272,564.00,0.0000,0.000038,2021/12/08,13.2770,11.75,,,,,," ",,
01 NKA,家乐福,2021/12/06,1028888792,12174291489,12461587,1097,雀巢（Nestle）怡跃 成人奶粉 女士高蛋白 高钙高铁 安骼脱脂奶粉 350g,Dairy,4,1028888792YK,1463.760000,0.000000,450.00,0.0000,0.0000,2021/12/08,42.3750,37.50,,,,,," ",,
