Order Date,PO No.,WMDC,Order type（Promotional Event）,Nestle BU,是否为手工单,是否为稳定库存,Order qty,起送日,MABD,order category,Exception category,Item Type,Customer order Item,原始MABD,新MABD,沃尔玛产品编码,雀巢产品编码,Material Description,原单箱规,原订单数量,修改后订单数量,雀巢数量,雀巢价格,沃尔玛价格,Exception reason
11/16/2021,2450524782,SZDC,SYSOS,,,,231,11/09/2021,11/11/2021,clean,,Order,10,,11/11/2021,,,,,,,,,,
11/16/2021,2500756074,WHDC,SYSOS,,,,3,11/01/2021,11/04/2021,clean,,Order,3,,11/04/2021,,,,,,,,,,
11/16/2021,2500756075,WHDC,SYSOS,,,,7,11/04/2021,11/08/2021,clean,,Order,4,,11/08/2021,,,,,,,,,,
11/16/2021,2500954441,KMDC,POS REPLEN,,,,10,11/01/2021,11/05/2021,exception,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足,Order,7,,11/05/2021,,,,,,,,,,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足
11/16/2021,2500954471,KMDC,POS REPLEN,,,,27,11/03/2021,11/07/2021,exception,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足,Order,10,,11/07/2021,,,,,,,,,,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足
11/16/2021,2500954506,KMDC,POS REPLEN,,,,46,11/08/2021,11/12/2021,exception,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足,Order,17,,11/12/2021,,,,,,,,,,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足
11/16/2021,2500954531,KMDC,POS REPLEN,,,,31,11/09/2021,11/13/2021,exception,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足,Order,13,,11/13/2021,,,,,,,,,,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足
11/16/2021,2500954561,KMDC,POS REPLEN,,,,16,11/10/2021,11/14/2021,exception,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足,Order,10,,11/14/2021,,,,,,,,,,问题订单; 客户指定送货日不在行程日; 客户指定送货日无法满足
11/16/2021,2550590037,CDDC,STOF4,Dairy,,,5,11/08/2021,11/15/2021,exception,,Item,1,,11/15/2021,021118190,12424359,雀巢怡养中老年奶粉袋装 @12(28x25g) CN,,,,5,651,633,价差订单
11/16/2021,2550590037,CDDC,STOF4,,,,5,11/08/2021,11/15/2021,exception,STOF4订单,Order,1,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,2550590049,CDDC,STOF4,Dairy,,,210,11/08/2021,11/15/2021,exception,,Item,3,,11/15/2021,020469270,12451368,雀巢怡养益护因子中老年奶粉双听礼盒 @3(2x700g)CN,,,,200,,,特殊产品需检查订单
11/16/2021,2550590049,CDDC,STOF4,,,,210,11/08/2021,11/15/2021,exception,STOF4订单,Order,3,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,2550590099,CDDC,STOF4,Dairy,,,180,11/09/2021,11/15/2021,exception,,Item,3,,11/15/2021,020469270,12451368,雀巢怡养益护因子中老年奶粉双听礼盒 @3(2x700g)CN,,,,150,411,400,特殊产品需检查订单
11/16/2021,2550590099,CDDC,STOF4,,,,180,11/09/2021,11/15/2021,exception,STOF4订单,Order,3,,11/15/2021,,,,,,,,,,STOF4订单
11/16/2021,2550590113,CDDC,MODWK44,,,,157,11/09/2021,11/15/2021,clean,,Order,5,,11/15/2021,,,,,,,,,,
